dimension,lambda,alpha,epsilon,shift_type,model_type,target_mode,n_train,n_test,sigma,seed,chi_squared_divergence,chi_squared_divergence_theoretical,chi_squared_relative_error,chi2_weight_mean,chi2_weight_variance,ess_theoretical,ess_empirical,ess_monte_carlo,weight_var_empirical,weight_var_monte_carlo,weight_var_true,train_mse,test_mse,train_rmse,test_rmse,generalisation_gap
2,0.0,1.0,0.0,mean,ols,linear,1000,1000,0.1,0,0.0,0.0,0.0,1.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.010071505478150807,0.010857801666782858,0.1003568905364789,0.10420077574942932,0.0007862961886320515
2,0.0,1.0,0.0,mean,ols,linear,1000,1000,0.1,1,0.0,0.0,0.0,1.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.009918032627767298,0.01079957119626674,0.09958931984789984,0.10392098535073048,0.0008815385684994414
2,0.0,1.0,0.0,mean,ols,linear,1000,1000,0.1,2,0.0,0.0,0.0,1.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.00981590559144587,0.009957270353718663,0.09907525216443241,0.09978612305184856,0.00014136476227279322
2,0.0,1.0,0.0,combined,ols,linear,1000,1000,0.1,0,0.0,0.0,0.0,1.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.010071505478150807,0.010857801666782858,0.1003568905364789,0.10420077574942932,0.0007862961886320515
2,0.0,1.0,0.0,combined,ols,linear,1000,1000,0.1,1,0.0,0.0,0.0,1.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.009918032627767298,0.01079957119626674,0.09958931984789984,0.10392098535073048,0.0008815385684994414
2,0.0,1.0,0.0,combined,ols,linear,1000,1000,0.1,2,0.0,0.0,0.0,1.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.00981590559144587,0.009957270353718663,0.09907525216443241,0.09978612305184856,0.00014136476227279322
2,0.0,1.0,0.0,mean,rbf_svr,linear,1000,1000,0.1,0,0.0,0.0,0.0,1.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.016906711401992795,0.017825017305255535,0.13002581052234513,0.13351036403686245,0.0009183059032627401
2,0.0,1.0,0.0,mean,rbf_svr,linear,1000,1000,0.1,1,0.0,0.0,0.0,1.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.01778785610497299,0.023189854819599686,0.13337112170546137,0.15228215528944844,0.005401998714626696
2,0.0,1.0,0.0,mean,rbf_svr,linear,1000,1000,0.1,2,0.0,0.0,0.0,1.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.013035067086958308,0.027723983432472957,0.11417121829497269,0.16650520542155117,0.01468891634551465
2,0.0,1.0,0.0,combined,rbf_svr,linear,1000,1000,0.1,0,0.0,0.0,0.0,1.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.016906711401992795,0.017825017305255535,0.13002581052234513,0.13351036403686245,0.0009183059032627401
2,0.0,1.0,0.0,combined,rbf_svr,linear,1000,1000,0.1,1,0.0,0.0,0.0,1.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.01778785610497299,0.023189854819599686,0.13337112170546137,0.15228215528944844,0.005401998714626696
